School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
Perspectives High School of Technology,400062,60620,Auburn Gresham,31,16,21
Perspectives - Rodney D Joslin,400064,60616,Near South Side,6,3,3
Perspectives - IIT Math & Science Academy,400066,60653,Douglas,5,3,3
Perspectives Middle Academy,400067,60620,Auburn Gresham,31,16,21
Plato Learning Acad. ES,400068,60644,Austin,8,4,29
Polaris Charter Academy ES,400069,60624,Humboldt Park,10,5,27
Prologue Early College HS,400070,60642,West Town,10,5,27
Providence Englewood ES,400071,60636,West Englewood,32,16,17
Betty Shabazz Intl Charter,400072,60619,Greater Grand Crossing,5,3,8
Betty Shabazz Intl Charter - DuSable Leadership,400073,60615,Grand Boulevard,5,3,3
Betty Shabazz Intl Charter - Barbara A Sizemore,400074,60619,West Englewood,5,3,8
Univ. of Chicago -  Donoghue,400075,60653,Oakland,26,13,4
Univ. of Chicago -  NKO,400076,60653,Kenwood,25,13,4
Univ. of Chicago -  Woodlawn,400077,60637,Woodlawn,26,13,20
Univ. of Chicago - Carter G Woodson,400078,60653,Grand Boulevard,26,13,4
UNO - SPC Daniel Zizumbo Campus,400079,60632,Archer Heights,1,1,14
UNO - PFC Omar E.Torres Campus,400080,60632,Archer Heights,1,1,14
UNO - Bartolome de Las Casas,400081,60608,Lower West Side,2,1,25
UNO - Carlos Fuentes,400082,60618,Avondale,40,20,33
UNO - Octavio Paz Campus,400083,60608,South Lawndale,21,11,28
UNO - Rufino Tamayo,400084,60632,Gage Park,1,1,14
UNO - Major Hector P.Garcia MD Campus,400085,60632,Archer Heights,1,1,14
Urban Prep Acad for Young Men - Englewood,400086,60621,Englewood,5,3,20
Young Women's Leadership HS,400087,60616,Douglas,5,3,4
UNO - Officer Donald J. Marquez,400089,60632,Brighton Park,1,1,14
Chicago Acad. for Advanced Technology HS,400091,60608,Near West Side,9,5,2
Chicago Intl (CICS) - Lloyd Bond,400092,60827,Riverdale,29,15,9
EPIC Academy HS,400094,60617,South Chicago,25,13,7
Rowe ES,400096,60642,West Town,10,5,32
Noble St. - Chicago Bulls College,400097,60612,Near West Side,10,5,2
Noble St. - Muchin College Prep,400098,60602,Loop,5,3,42
UNO - Sandra Cisneros/Gage Park,400101,60632,Brighton Park,21,11,12
Urban Prep - East Garfield Park,400102,60608,Near West Side,9,5,2
Instituto Health Sciences Career Academy HS,400104,60608,Loop,9,5,25
Urban Prep Acad for Young Men - South Shore,400105,60616,Douglas,6,3,3
Noble St. - Johnson HS,400106,60621,Englewood,6,3,20
LEARN - South Chicago Campus,400107,60617,South Chicago,25,13,10
Chicago Intl (CICS) - Larry Hawkins,400108,60827,Riverdale,29,15,9
Prologue - Joshua Johnston Schl for Fine Arts and Design,400109,60643,Washington Heights,35,18,21
LEARN - 5th Campus,400111,60620,Auburn Gresham,36,18,18
UNO - Soccer/Homan ES,400112,60632,Gage Park,22,11,14
Chicago Intl (CICS) - Chicago Quest North,400113,60610,Near North Side,9,5,27
UNO - Esmeralda Santiago/St. Marks,400114,60622,West Town,4,2,1
Catalyst-Maria Charter School,400115,60629,Chicago Lawn,6,3,15
The Montessori School of Englewood Charter,400116,60636,West Englewood,32,16,17
Noble St. - Hansberry College Prep,400117,60620,Auburn Gresham,27,14,21
Noble St. - DRW College Prep,400118,60624,North Lawndale,9,5,24
Legal Prep Charter Academy,400119,60624,West Garfield Park,10,5,28
UNO Charter - Galewood (Near West) Elementary,400120,60707,Belmont Cragin,3,2,36
UNO Charter - Rogers Park (Northside) Elementary,400121,60645,West Ridge,14,7,49
KIPP Create Middle School (ACT Charter),400146,60644,Austin,10,5,28
Chicago Excel Academy,400147,60643,Loop,27,14,34
Instituto Justice and Leadership Acad Charter HS,400148,60608,Lower West Side,2,1,25
Chicago Vocational Career Acad. HS,609674,60617,Avalon Park,33,17,8
Chicago Vocational Achvmt. Acad. HS,609675,60617,Avalon Park,33,17,8
Dunbar Career Acad. HS,609676,60616,Douglas,5,3,2
Jones College Preparatory HS,609678,60605,Loop,6,3,2
Prosser Career Acad. HS,609679,60639,Belmont Cragin,3,2,37
Payton College Preparatory HS,609680,60610,Near North Side,9,5,27
Richards Career Acad. HS,609682,60609,New City,6,3,16
SAFE ALTERNATIVE HS,609683,60603,Grand Boulevard,6,3,42
Youth Connection Charter School  -  Ada S. McKinley,400124,60616,Douglas,5,3,2
Youth Connection Charter School  -  ASA  Community Service West,400123,60644,Austin,10,5,28
